GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MCP v2 Java Client,com.mcp.v2.client.transport.http,HttpTransport,173,129,19,3,45,37,17,9,6,9
MCP v2 Java Client,com.mcp.v2.client.transport.http,HttpTransport.RetryInterceptor,62,6,10,0,22,3,6,1,1,1
MCP v2 Java Client,com.mcp.v2.client,MCPClientException,48,0,0,0,18,0,6,0,6,0
MCP v2 Java Client,com.mcp.v2.client,MCPContextException,13,0,0,0,4,0,2,0,2,0
MCP v2 Java Client,com.mcp.v2.client,MCPTransportException,13,0,0,0,4,0,2,0,2,0
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes,3,0,0,0,1,0,1,0,1,0
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.EventType,3,70,0,0,1,13,1,3,1,3
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.MCPResponse,38,55,0,2,10,20,10,11,10,10
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.ContextInfo,27,44,0,0,7,15,7,11,7,11
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.EventData,35,22,0,0,10,9,10,4,10,4
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.MCPRequest,38,42,0,0,10,16,10,8,10,8
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.MCPError,26,32,0,0,7,13,7,6,7,6
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.ErrorCodes,3,0,0,0,1,0,1,0,1,0
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.ClientConfig,27,65,0,0,4,21,4,14,4,14
MCP v2 Java Client,com.mcp.v2.client.types,MCPTypes.TransportConfig,27,45,0,0,5,15,5,9,5,9
MCP v2 Java Client,com.mcp.v2.client.transport.websocket,WebSocketTransport.WebSocketClientHandler,179,0,22,0,52,0,17,0,6,0
MCP v2 Java Client,com.mcp.v2.client.transport.websocket,WebSocketTransport,261,49,26,0,58,17,22,6,9,6
MCP v2 Java Client,com.mcp.v2.client.transport.websocket,WebSocketTransport.new ChannelInitializer() {...},84,0,2,0,8,0,3,0,2,0
MCP v2 Java Client,com.mcp.v2.client.impl,BaseMCPClient,333,321,37,9,82,76,36,20,15,18
MCP v2 Java Client,com.mcp.v2.client.impl,HttpMCPClient,5,11,1,1,1,3,1,1,0,1
MCP v2 Java Client,com.mcp.v2.client.impl,WebSocketMCPClient,5,11,1,1,1,3,1,1,0,1
MCP v2 Java Client,com.mcp.v2.client.factory,MCPClientFactory,36,51,0,0,12,13,3,3,3,3
MCP v2 Java Client,com.mcp.v2.client.factory,MCPClientFactory.DefaultMCPClientBuilder,25,133,3,5,5,32,4,11,1,9
